DATETIME,IND1679,IND1680,IND1681,IND1682,IND1683,IND323,IND5088,IND5105,IND5113,IND5115,IND5117,IND5125,SYM157
1489129440,80.01182,26.54066,35.4,35.38017,35.32734,,,,,,,,
1489129500,84.70065000000001,26.544489999999996,35.4,35.39017,35.31734,,,,,,,,
1489129560,86.02365,26.548819999999996,35.4,35.4,35.30951,,,,,,,,
1489129620,82.14965000000001,26.548159999999996,35.4,35.4,35.31634,,,,,,,,
1489129680,77.46082000000001,26.53783,35.3183,35.39183,35.32084,,,,,,,,
1489129740,72.77582000000001,26.525499999999994,35.2183,35.373659999999994,35.330169999999995,,,,,,,,
1489129800,68.09349,26.504169999999995,35.2,35.35366,35.34016999999999,,,,,,,,
1489129860,63.41282,26.48067,35.1367,35.327329999999996,35.35016999999999,,,,,,,,
1489129920,58.732820000000004,26.473,35.1,35.297329999999995,35.36017,,,,,,,,
1489129980,54.04649,26.473499999999998,35.1,35.267329999999994,35.370169999999995,,,,,,,,
1489130040,49.36366,26.47834,35.1,35.23733,35.38017,,,,,,,,
1489130100,44.67483,26.48368,35.1,35.20733,35.39017,,,,,,,,
1489130160,40.016,26.495350000000002,35.0783,35.17516,35.4,,,,,,,,
1489130220,39.199999999999996,26.51085,35.0283,35.13799,35.4,,,,,,,,
1489130280,39.199999999999996,26.534850000000002,35.0933,35.11549,35.39183,,,,,,,,
1489130340,39.199999999999996,26.562520000000003,35.1,35.103660000000005,35.373659999999994,,,,,,,,
1489130400,39.199999999999996,26.58435,35.1,35.09366000000001,35.35366,,,,,,,,
1489130460,39.199999999999996,26.601510000000005,35.1,35.08999000000001,35.327329999999996,,,,,,,,
1489130520,39.199999999999996,26.608510000000003,35.1,35.08999000000001,35.297329999999995,,,,,,,,
1489130580,39.199999999999996,26.614850000000004,35.1,35.08999000000001,35.267329999999994,,,,,,,,
1489130640,39.199999999999996,26.62151,35.1,35.08999000000001,35.23733,,,,,,,,
1489130700,39.199999999999996,26.63334,35.1,35.08999000000001,35.20733,,,,,,,,
1489130760,39.199999999999996,26.645840000000007,35.1,35.09216,35.17516,,,,,,,,
1489130820,39.199999999999996,26.6585,35.1,35.09933,35.13799,,,,,,,,
1489130880,39.199999999999996,26.668660000000003,35.1,35.10000000000001,35.11549,,,,,,,,
1489130940,39.199999999999996,26.681159999999995,35.1,35.10000000000001,35.103660000000005,,,,,,,,
1489131000,39.199999999999996,26.696829999999995,35.1,35.10000000000001,35.09366000000001,,,,,,,,
1489131060,39.199999999999996,26.714999999999993,35.1,35.10000000000001,35.08999000000001,,,,,,,,
1489131120,39.199999999999996,26.731839999999995,35.1,35.10000000000001,35.08999000000001,,,,,,,,
1489131180,39.199999999999996,26.74084,35.1,35.10000000000001,35.08999000000001,,,,,,,,
1489131240,39.199999999999996,26.74601,35.1,35.10000000000001,35.08999000000001,,,,,,,,
1489131300,39.199999999999996,26.754340000000003,35.1,35.10000000000001,35.08999000000001,,,,,,,,
1489131360,39.199999999999996,26.75034,35.1,35.10000000000001,35.09216,,,,,,,,
1489131420,39.199999999999996,26.75084,35.1,35.10000000000001,35.09933,,,,,,,,
1489131480,39.199999999999996,26.74518,35.1,35.10000000000001,35.10000000000001,,,,,,,,
