DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5112,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES6,RES7,RES8,SYM1756,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC6,UNC7,UNC8
1491451800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6578,,,,,,,,,,,,,,,,,,,,189.429,19.33115,,,1439.02,,19.2423,1674.605,,9.069749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491452400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0717,,,,,,,,,,,,,,,,,,,,189.553,19.241149999999998,,,1568.12,,19.24,1674.76,,9.069749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491453000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8182,,,,,,,,,,,,,,,,,,,,188.651,19.241149999999998,,,1568.12,,19.24,1674.76,,9.069749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491453600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8757,,,,,,,,,,,,,,,,,,,,189.667,19.33115,,,1439.02,,19.6642,1670.355,,9.078165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491454200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8757,,,,,,,,,,,,,,,,,,,,188.774,19.45325,,,1290.0149999999999,,19.6642,1664.33,,9.076915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491454800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8757,,,,,,,,,,,,,,,,,,,,189.278,19.57535,,,1037.4955,,19.855,1664.33,,9.058164999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491455400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8757,,,,,,,,,,,,,,,,,,,,189.888,19.7596,,,813.943,,19.855,1659.59,,9.058164999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491456000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8757,,,,,,,,,,,,,,,,,,,,189.259,19.8886,,,592.8695,,20.5565,1659.59,,9.058164999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491456600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3813,,,,,,,,,,,,,,,,,,,,189.078,19.95695,,,461.5135,,20.5565,1611.7649999999999,,9.047835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491457200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7028,,,,,,,,,,,,,,,,,,,,189.698,19.92335,,,461.5135,,19.9917,1541.395,,9.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491457800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.461,,,,,,,,,,,,,,,,,,,,189.17,20.0466,,,461.5135,,19.9917,1471.42,,8.94408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491458400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.761,,,,,,,,,,,,,,,,,,,,189.251,20.0466,,,542.9735000000001,,19.7268,1471.42,,8.859665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.06,,,,,,,,,,,,,,,,,,,,190.094,19.9486,,,599.5464999999999,,19.9055,1471.42,,8.859665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491459600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.727,,,,,,,,,,,,,,,,,,,,188.966,19.83775,,,710.396,,19.77,1465.53,,8.859665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491460200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3467,,,,,,,,,,,,,,,,,,,,188.933,19.78585,,,783.3705,,19.8017,1465.53,,8.823835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491460800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7573,,,,,,,,,,,,,,,,,,,,189.568,19.78585,,,809.324,,19.77,1465.53,,8.810585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491461400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.374,,,,,,,,,,,,,,,,,,,,189.113,19.7484,,,840.154,,19.5693,1465.53,,8.810585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491462000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.651,,,,,,,,,,,,,,,,,,,,190.01,19.694499999999998,,,809.324,,19.5693,1483.2150000000001,,8.810585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491462600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3777,,,,,,,,,,,,,,,,,,,,189.692,19.65635,,,846.991,,19.619,1519.1100000000001,,8.83175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491463200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3777,,,,,,,,,,,,,,,,,,,,189.559,19.65635,,,907.008,,19.6937,1539.38,,8.85275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491463800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3777,,,,,,,,,,,,,,,,,,,,189.935,19.65635,,,976.9435,,19.7168,1554.24,,8.869164999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491464400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3777,,,,,,,,,,,,,,,,,,,,189.953,19.70525,,,966.3245,,20.0545,1554.24,,8.900665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3777,,,,,,,,,,,,,,,,,,,,189.785,19.88565,,,980.903,,20.0618,1563.615,,8.933835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491465600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3488,,,,,,,,,,,,,,,,,,,,189.29,20.05815,,,1051.245,,20.1275,1575.82,,8.99217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491466800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.88895,,,,,,,,,0.15040700252038613,,,,12.8,,25.700000000000003,,,,,,20.1275,,,1062.08,,20.381950000000003,1584.77,,9.16167,,-103.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491467400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.78444999999999,,,,,,,,,0.2295427686548467,0.15040700252038613,1.0,1.0,13.0,,26.3,,,,,192.25,20.2402,,,1005.96,,20.5047,1588.13,,9.16567,,-125.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
