DATETIME,IND1,IND10,IND12,IND13,IND17206,IND17260,IND17261,IND2,IND2006,IND228,IND230,IND263,IND265,IND266,IND268,IND269,IND270,IND271,IND273,IND274,IND276,IND277,IND279,IND280,IND282,IND2822,IND2823,IND283,IND284,IND285,IND286,IND3,IND323,IND4,IND447,IND448,IND4712,IND4713,IND4718,IND4735,IND4832,IND4833,IND4834,IND4835,IND4836,IND4850,IND4851,IND4941,IND4944,IND5,IND5023,IND5024,IND5088,IND5105,IND5106,IND5113,IND5114,IND5115,IND5117,IND5118,IND5125,IND5126,IND5129,IND5130,IND5131,IND5165,IND5166,IND5167,IND5168,IND5169,IND5198,IND5208,IND5209,IND5210,IND5211,IND5212,IND5216,IND5217,IND5218,IND5220,IND5261,IND5265,IND5271,IND5275,IND5278,IND5310,IND5312,IND5315,IND5528,IND5532,IND5535,IND6,IND672,IND673,IND7,IND700,IND8,IND87,IND89,IND9,MOD100038,MOD100039,MOD100040,MOD3,MOD4,MOD5,MOD6,MOD7,MOD8,RES100038,RES100039,RES100040,RES3,RES4,RES5,RES6,RES7,RES8,SYM1994,UNC100038,UNC100039,UNC100040,UNC3,UNC4,UNC5,UNC6,UNC7,UNC8
1491538200,1.0,61.8622,24.3083,681.291,70.109,,,1.82867,0.29053739682538526,1.17567,,,,,,,,,,,,,,,,,,,,,,38.8,73.4458,49.4487,,,,,10.792200000000001,91.90634887926707,0.09597951815138187,0.3263202239244444,0.14633159037114313,1.0,1.0,6.4,12.9,12.9,-122.1,1468.63,,,189.088,20.8587,20.9996,1039.97,822.598,20.3328,1659.095,1582.432,10.03285,9.813874000000002,-97.55000000000001,-122.1,20.7297,0.12773262473116168,0.2632612399944557,0.04457345858464974,0.4722969111251054,0.9770538858902195,0.10051421982159424,0.9819315712960612,0.17133154064717254,0.7061160041523467,0.9374098692694097,0.9847304068271603,,0.005744371439817401,0.19478123898222682,,7.6165,73.06576666666666,20.7297,20.7297,9.9375,,,-109.0,0.4722969111251054,0.25546524946232335,0.005744371439817401,9.9375,,,20.7297,70.109,7.6165,,189.138,68.1852,,-80.49467764491658,,66.83611214129643,46.98712387946146,40.71312494931864,741.2882878145656,1.9993021281808048,27.106139741551196,,0.005744371439817401,,0.9374098692694097,0.9770538858902195,0.17133154064717254,0.04457345858464974,0.12773262473116168,0.10051421982159424,,,0.5536172813719369,,0.6238754733557024,0.4154354293278029,0.6444960118349334,0.5889040608338955,0.8098737354763955,0.7141756176585873
1491538800,1.0,62.8808,24.2392,670.005,69.399,24.34050400490697,62.2646851658248,1.96017,0.29053739682538526,6.88333,5.70766,0.0,-0.1302999999999983,0.0,-0.3277000000000001,0.0,1.0185999999999993,0.0,-1.0398999999999887,0.0,-0.38899999999999935,0.0,-28.99000000000001,0.0,-0.28550000000000253,-0.2748300000000006,0.0,0.0,24.3083,-0.06909999999999883,0.0,38.6697,73.421,49.121,0.13149999999999995,0.0,-0.7099999999999937,0.0,10.895699999999998,98.13505846861035,0.14414704011485127,0.27540268601286866,0.3263202239244444,1.0,1.0,8.4,16.4,16.4,-111.5,1439.64,10.599999999999994,0.0,189.138,20.58695,20.58695,1039.97,675.648,20.4442,1638.24,1538.2800000000004,10.03285,9.80434,-102.45,-111.5,20.58695,0.3902389291496043,0.5246292605693725,0.36755738022699175,0.32872160946542806,0.9801292105321422,0.07951932906995156,0.9794286686627975,0.16704851147784644,0.6254835367959952,0.6999756869573577,0.9600462698561376,0.8107719973234804,0.011708690694604819,0.1559083180438427,0.4249135083243869,7.34167,72.149075,20.4442,20.4442,9.5485,61.8622,24.3083,-116.8,0.32872160946542806,0.7804778582992086,0.011708690694604819,9.5485,-11.286000000000058,0.0,20.4442,69.399,7.34167,61.8622,188.313,67.1453,24.34050400490697,-87.31073957359092,62.2646851658248,66.76204435000439,45.98691528900798,40.68918252091622,682.7376581370346,1.9868339766587195,27.2102794067423,0.2600530964311821,0.011708690694604819,0.8107719973234804,0.6999756869573577,0.9801292105321422,0.16704851147784644,0.36755738022699175,0.3902389291496043,0.07951932906995156,,0.7173002272032479,0.1077675671183742,0.5471886578711275,1.1811003823435462,0.3583657766459893,0.9775726457928017,0.997586695429868,1.0517486755736973,0.7209647034573917
1491539400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1662,,,,,,,,,0.05056499672347387,0.27540268601286866,1.0,1.0,4.5,,6.8,,,,,188.313,20.419449999999998,,1039.97,,20.4442,1638.24,,10.03285,,-95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491540000,1.0,63.0912,24.1372,1641.69,77.6402,,,1.71133,0.29053739682538526,-4.39183,,,,,,,,,,,,,,,,,,,,,,38.5685,73.1662,49.2013,,,,,10.068470000000001,100.561882904132,0.07618414779499404,0.03416677901604155,0.05056499672347387,1.0,1.0,3.4,7.1,7.1,-91.0,1683.41,,,186.904,20.36375,20.393233333333335,1238.72,997.6619999999999,20.3947,1638.24,1538.3080000000002,10.000250000000001,9.791266,-95.1,-91.0,20.225,0.0177208047765541,0.5246292605693725,0.6295258316661232,0.4985416059465575,0.9747952758691942,0.08858502798080078,0.9785915482111809,0.3607853051618894,0.5077541364816378,0.9805524223876265,0.9589811458285181,,0.0176507782652998,0.1559083180438427,,10.068,72.6485,20.0058,20.0058,9.93733,,,-108.2,0.4985416059465575,0.0354416095531082,0.0176507782652998,9.93733,,,20.0058,77.6402,10.068,,190.008,69.6807,,-69.30338838539416,,67.83861100938924,46.93849330002505,39.68408785538234,1632.5171651420465,2.4186591495608485,27.08419039359835,,0.0176507782652998,,0.9805524223876265,0.9747952758691942,0.3607853051618894,0.6295258316661232,0.0177208047765541,0.08858502798080078,,,0.20966377787874294,,0.8842098997000878,0.40866705612072296,0.5143617137112391,0.6378363463407862,0.9789834921686886,0.7041553606647181
1491540600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1662,,,,,,,,,0.022600395654293327,0.03416677901604155,1.0,1.0,6.6,,13.1,,,,,190.008,20.36375,,1238.72,,20.0065,1638.24,,9.998000000000001,,-101.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491541200,1.0,63.2433,23.8375,1731.21,84.1032,,,2.17083,0.2889826943156735,5.98817,,,,,,,,,,,,,,,,,,,,,,39.3387,73.421,50.9098,,,,,9.856699999999998,106.92194986865972,0.10248833438785193,0.01589691973095427,0.022600395654293327,1.0,1.0,2.7,9.100000000000001,9.100000000000001,-102.4,1679.43,,,189.735,20.22735,20.309925,1502.405,1181.049,20.0065,1661.21,1561.8283333333334,9.998000000000001,9.859938333333332,-106.95,-102.4,20.032899999999998,0.037066548821464686,0.3967049617044546,0.9887746970505413,0.7193380480122278,0.9790291288984556,0.05565582270805154,0.9793041493068773,0.6597046252390929,0.596642991014687,0.9809211934139679,0.9806446151442119,,0.01154813604808181,0.08751372202706242,,10.1152,75.31285,20.06,20.06,10.2033,,,-106.75,0.7193380480122278,0.07413309764292937,0.01154813604808181,10.2033,,,20.06,84.1032,10.1152,,189.809,69.9508,,-73.24010655414895,,68.18171599499438,48.290466879410694,39.135738541359885,1619.1343331528985,2.5827801436733235,27.09153995714763,,0.01154813604808181,,0.9809211934139679,0.9790291288984556,0.6597046252390929,0.9887746970505413,0.037066548821464686,0.05565582270805154,,,0.5756360036635556,,0.9588079736469638,0.5639458280238797,0.5920824245529349,0.611175243781461,0.7064296126391604,0.8748139488909213
1491541800,1.0,64.2735,23.7662,2006.78,90.4995,24.373148561657136,62.73460361315705,7.3105,0.1472426628176861,-0.419167,-6.407337,0.0,0.5472999999999999,0.0,1.1640000000000015,0.0,1.0302000000000007,0.0,0.5524000000000058,0.0,0.38949999999999996,0.0,1.5299999999999727,0.0,-0.4942999999999991,2.2142999999999997,0.0,0.0,23.8375,-0.07129999999999725,0.0,39.886,73.5383,52.0738,5.139670000000001,0.0,6.3962999999999965,0.0,8.9729,99.7928452439708,0.06779747759438745,0.33589105548834014,0.01589691973095427,1.0,1.0,13.1,28.6,28.6,-171.4,1680.96,-69.0,0.0,189.809,20.03325,20.018925,1617.5,1512.42125,20.0065,1666.87,1595.126666666667,10.08165,10.00321,-106.95,-171.4,19.812849999999997,0.1356218325731942,0.39855221343459346,0.43105140306349743,0.7193380480122278,0.9709888523161272,0.0380720510255098,0.9793041493068773,0.6888154466232959,0.6669823305851437,0.9648102275958087,0.9806446151442119,0.9964370867255863,0.0011988752349600452,0.018017865201545382,0.4249135083243869,12.3295,78.35018000000001,19.5657,19.5657,10.5928,63.2433,23.8375,-119.07499999999999,0.7193380480122278,0.2712436651463884,0.0011988752349600452,10.5928,275.56999999999994,0.0,19.5657,90.4995,12.3295,63.2433,190.14,70.5032,24.373148561657136,-112.65320933775314,62.73460361315705,69.15147462071785,50.14211997230802,39.56153099419248,2010.945769803316,7.488436464731437,27.32443553506149,0.0055377924411251795,0.0011988752349600452,0.9964370867255863,0.9648102275958087,0.9709888523161272,0.6888154466232959,0.43105140306349743,0.1356218325731942,0.0380720510255098,,1.1130798853970318,0.8452136620088102,1.1530246539363764,1.4381961840317032,1.147575857006337,1.0783224233419557,0.4272387176631486,0.7954135696120519,0.6822714817589248
1491542400,1.0,64.5183,24.1807,1872.78,95.4737,23.858397578636833,63.57410068993004,2.4675,0.09156732594099914,-3.06883,-2.6496630000000003,0.0,0.8001999999999967,0.0,1.4939000000000036,0.0,0.2447999999999979,0.0,0.23679999999998813,0.0,-0.8311299999999999,0.0,0.4900000000000091,0.0,-0.07590000000000074,-1.5347999999999988,0.0,0.0,23.7662,0.4145000000000003,0.0,40.6862,77.6402,53.5677,-4.843,0.0,4.974199999999996,0.0,9.728129999999998,99.81601266819719,0.056264648392266574,0.06802446890777232,0.33589105548834014,1.0,1.0,9.3,12.5,12.5,-108.2,1681.45,63.2,0.0,190.14,20.006149999999998,19.780324999999998,1686.45,1813.115,19.5657,1673.85,1605.5866666666666,10.08165,9.996849999999998,-105.30000000000001,-108.2,19.705166666666663,0.004696354926674379,0.39855221343459346,0.4500946451548318,0.7193380480122278,0.9608376676732827,0.06436429702533515,0.9793041493068773,0.5390648481787215,0.6669823305851437,,,0.9964370867255863,0.010650528743754125,0.013194212587278563,0.9451105111331735,10.7947,81.2041,19.4898,19.4898,9.76167,64.2735,23.7662,-118.25,0.7193380480122278,0.009392709853348759,0.010650528743754125,9.76167,-134.0,0.0,19.4898,95.4737,10.7947,64.2735,190.549,70.74,23.858397578636833,-79.58099065595314,63.57410068993004,69.30513301731519,51.969999971131905,41.09205964794003,1876.2320292490454,3.6685657722065907,27.311721709877414,0.9451105111331735,0.010650528743754125,0.9345053146197749,0.970795636735047,0.9608376676732827,0.5390648481787215,0.4500946451548318,0.004696354926674379,0.06436429702533515,,0.5011624102238205,0.4685743376434038,1.1997860676713301,2.065456387221608,0.5855838850025704,0.74805460875411,0.6273876729307535,0.6962405219723885,0.697919957064694
1491543000,1.0,64.4168,24.2113,1799.84,95.914,24.223600072220663,63.73285595028376,2.19417,0.08858502798080078,-4.6455,-1.57667,0.0,0.7982999999999976,0.0,1.5889999999999986,0.0,-0.10150000000000148,0.0,0.017800000000008254,0.0,0.5638299999999994,0.0,0.12999999999988177,0.0,0.05620000000000047,-0.028200000000000003,0.0,0.0,24.1807,0.03059999999999974,0.0,41.4845,80.2313,55.1567,-0.27332999999999963,0.0,0.4403000000000077,0.0,9.2205,96.96129185272012,0.0686566665118655,0.036889184477922325,0.06802446890777232,1.0,1.0,15.5,31.0,31.0,-186.5,1681.58,-78.3,0.0,190.549,19.78575,19.73346,1765.525,1810.46,19.546,1679.01,1616.442857142857,10.08165,10.0438,-119.44999999999999,-186.5,19.53383333333333,0.002689741109451491,0.2712436651463884,0.06509674253378558,0.6295258316661232,0.9835006694838733,0.05320312961053672,0.9801292105321422,0.668813743883956,0.668813743883956,,,0.9809541436991335,5.346764899781489E-4,0.011708690694604819,0.8174001417105752,10.7665,83.30551428571428,19.546,19.546,10.3255,64.5183,24.1807,-131.9,0.6295258316661232,0.005379482218902982,5.346764899781489E-4,10.3255,-72.94000000000005,0.0,19.546,95.914,10.7665,64.5183,189.924,70.7578,24.223600072220663,-117.046086756627,63.73285595028376,69.27650430255825,52.14165065616896,41.27068417083851,1856.2458952525888,3.5913729108409673,27.467855577574525,0.4342690334427801,5.346764899781489E-4,0.8448535722187897,0.9723154050270593,0.9835006694838733,0.668813743883956,0.06509674253378558,0.002689741109451491,0.05320312961053672,,0.3650277890721213,0.5270202636866647,1.2585755588758831,2.08260145106568,0.27734613732319463,0.7573860615752624,0.5975524307455948,0.32686816811490726,0.6285135125639647
1491543600,1.0,63.9055,24.2233,1358.33,94.1565,24.21844587079834,63.59619563556097,1.65833,0.08631860325308847,-4.3965,0.24900000000000055,0.0,0.2850000000000037,0.0,1.0518,0.0,-0.5112999999999914,0.0,-0.21410000000000196,0.0,-0.1958000000000002,0.0,-8.299999999999955,0.0,0.14850000000000207,-1.154,0.0,0.0,24.2113,0.011999999999996902,0.0,41.7695,84.1032,56.2085,-0.5358400000000001,0.0,-1.7575000000000074,0.0,9.564800000000002,94.85587801313552,0.09146559167750325,0.059901886899674336,0.036889184477922325,1.0,1.0,8.6,16.799999999999997,16.799999999999997,-109.9,1673.28,76.6,0.0,189.924,19.6301,19.6712,1765.525,1753.7880000000002,19.546,1679.01,1623.5475000000001,10.094100000000001,10.0545375,-120.3,-109.9,19.576766666666664,0.02903946563520631,0.26729906122537217,0.040050482370960004,0.5846680350383003,0.9872336415888522,0.05234930977615238,0.9826578047459404,0.743086334388783,0.6838150209384609,0.9805419740438435,0.9806446151442119,0.9654712006726807,0.013144516882744353,0.01278556033570947,0.7072932278352306,9.6125,86.74087142857142,19.6945,19.6945,10.1297,64.4168,24.2113,-135.68,0.5846680350383003,0.05807893127041262,0.013144516882744353,10.1297,-441.51,0.0,19.6945,94.1565,9.6125,64.4168,189.144,70.5437,24.21844587079834,-88.5241224165419,63.59619563556097,68.91482773694987,52.323717240158025,41.310551169953186,1431.993492076369,2.1382656967121365,27.498790908333415,0.4694759445372878,0.013144516882744353,0.6650511320699177,0.9805419740438435,0.9872336415888522,0.743086334388783,0.040050482370960004,0.02903946563520631,0.05234930977615238,,0.5471760912510925,0.6371823085474636,1.4740841742073008,1.645923013477811,1.1162396352052093,0.9710991577004519,0.7470503174439956,0.9395119483521093,0.3649093918066076
