unixtime,IND1,MOD6,RES6
1488758400,1.0,1959.8727896098073,0.0
1488759000,1.0,1901.1865823404069,0.0
1488759600,1.0,1978.523197534515,0.0
1488760200,1.0,2008.77043154524,0.0
1488760800,1.0,1643.9414552919714,0.0
1488761400,1.0,2018.3070154264954,0.0
1488762000,1.0,1925.0737888772005,0.0
1488762600,1.0,2013.0677331575048,0.0
1488763200,1.0,2014.2549578567512,0.0
1488763800,1.0,1940.6429554567185,0.0
1488764400,1.0,2028.2011678094927,0.0
1488765000,1.0,2000.0313321916074,0.0
1488765600,1.0,1886.3479216007959,0.0
1488766200,1.0,1953.0265899038209,0.0
1488766800,1.0,2038.6928966869186,0.0
1488767400,1.0,1989.5767144066192,0.0
1488768000,1.0,1951.9627201096482,0.0
1488768600,1.0,2002.2562964978158,0.0
1488769200,1.0,1921.226382237476,0.0
1488769800,1.0,1993.3378668410592,0.0
1488770400,1.0,1763.2353104440576,0.0
1488771000,1.0,1860.6037450238944,0.0
1488771600,1.0,1892.4290489113885,0.0
1488772200,1.0,1772.3653050664655,0.0
1488772800,1.0,1747.2264448159515,0.0
1488773400,1.0,1511.0113623258496,0.0
1488774000,1.0,1954.4859033312189,0.0
1488774600,1.0,1575.7504904791188,0.0
1488775200,1.0,1856.6341325593162,0.0
1488775800,1.0,1882.8973383931525,11.144592787806316
1488776400,1.0,1983.3877522001198,0.0
1488777000,1.0,1958.8208549920093,0.0
1488777600,1.0,1799.0658603483614,4.770296079926349
1488778200,1.0,1767.7228520849326,0.0
1488778800,1.0,1955.6675544939817,0.0
1488779400,1.0,1864.596751555672,0.0
1488780000,1.0,1905.4342939540936,0.0
1488780600,1.0,1921.8185530599085,0.0
1488781200,1.0,1915.3143100098928,0.0
1488781800,1.0,1478.8330626402685,0.0
1488782400,1.0,1755.7491862408635,0.0
1488783000,1.0,1600.3395216404892,0.0
1488783600,1.0,1803.738700669771,0.0
1488784200,1.0,1708.635590500891,0.0
1488784800,1.0,1906.2492060155791,0.0
1488785400,1.0,1964.544616686129,0.0
1488786000,1.0,1665.1722517881765,5.058372834590221
1488786600,1.0,1822.2773535310941,0.0
1488787200,1.0,1981.0538601735184,0.0
1488787800,1.0,1691.7589983981204,0.0
1488788400,1.0,1796.7939471978946,0.0
1488789000,1.0,1889.7704104648205,0.0
1488789600,1.0,1763.3274627438552,0.0
1488790200,1.0,1922.6422932584398,0.0
1488790800,1.0,1854.0425139760519,0.0
1488791400,1.0,1265.1736999793372,0.0
1488792000,1.0,1267.1946002717266,118.30253718103322
1488792600,1.0,1585.0003764103715,0.0
1488793200,1.0,1369.7191401912442,16.16028760697448
1488793800,1.0,2000.07682880404,0.0
1488794400,1.0,1953.202578447498,0.0
1488795000,1.0,1619.755035735913,0.0
1488795600,1.0,1241.514737244296,0.0
1488796200,1.0,1789.7661813895083,0.0
1488796800,1.0,1823.8343655865708,0.0
1488797400,1.0,980.9315976250467,0.0
1488798000,1.0,1283.34781164205,0.0
1488798600,1.0,1221.9326449133334,0.0
1488799200,1.0,1733.8146015486386,0.0
1488799800,1.0,1613.9676694787106,0.0
1488800400,1.0,1034.4121230417013,0.0
1488801000,1.0,942.3818453665793,0.0
1488801600,1.0,820.0714610034123,0.0
1488802200,1.0,698.3444592370413,0.0
1488802800,1.0,643.872878229139,0.0
1488803400,1.0,817.2887707673117,0.0
1488804000,1.0,658.0860433829048,0.0
1488804600,1.0,1441.6592526410298,0.0
1488805200,1.0,719.1186004859987,0.0
1488805800,1.0,648.3560402321692,0.0
1488806400,1.0,393.8784494959984,0.0
1488807000,1.0,1040.7740525345116,0.0
1488807600,1.0,520.5148183934367,0.0
1488808200,1.0,680.4357392132429,0.0
1488808800,1.0,1018.6404312391028,0.0
1488809400,1.0,488.10006258163503,0.0
1488810000,1.0,1344.8402958732515,0.0
1488810600,1.0,599.7021040231732,0.0
1488811200,1.0,823.7368124301753,0.0
1488811800,1.0,602.8093790726809,0.0
1488812400,1.0,628.8489617592742,0.0
1488813000,1.0,821.2622658213644,0.0
1488813600,1.0,1260.8852572515127,0.0
1488814200,1.0,540.0416892782428,0.0
1488814800,1.0,935.880409577896,0.0
1488815400,1.0,659.8495664116391,0.0
1488816000,1.0,727.0389976123572,0.0
1488816600,1.0,483.2904804293228,0.0
1488817800,1.0,455.6668307693499,0.0
1488818400,1.0,407.1824272351649,0.0
1488819000,1.0,424.3529708840657,0.0
1488819600,1.0,494.37914561367637,0.0
1488820200,1.0,414.1776032341993,0.0
1488820800,1.0,246.2988489661389,0.0
1488821400,1.0,458.8957381436946,0.0
1488822000,1.0,776.117621963561,0.0
1488822600,1.0,551.9395631831064,0.0
1488823200,1.0,306.5572748813456,0.0
1488823800,1.0,505.1839372844418,0.0
1488824400,1.0,559.5154360266886,0.0
1488825000,1.0,1106.4072632588936,0.0
1488825600,1.0,849.2279816178343,0.0
1488826200,1.0,328.92220019514093,0.0
1488826800,1.0,495.0135544988397,0.0
1488827400,1.0,825.6064269766023,0.0
1488828000,1.0,834.6401964212822,0.0
1488828600,1.0,645.5456964673265,0.0
1488829200,1.0,866.1878460778772,0.0
1488829800,1.0,1081.5265406329038,0.0
1488830400,1.0,1771.028529097823,0.0
1488831000,1.0,1410.7546188131348,0.0
1488831600,1.0,1426.2189324428525,0.0
1488832200,1.0,1406.9202307562286,40.312868224366014
1488832800,1.0,1250.3489200344816,13.394195939970475
1488833400,1.0,990.5084028694632,0.0
1488834000,1.0,1115.451469456709,0.0
1488834600,1.0,639.3308123695283,0.0
1488835200,1.0,227.34293408684584,0.0
1488835800,,,
1488836400,1.0,115.90163412651907,0.0
1488837000,1.0,199.3887457601776,0.0
1488837600,1.0,227.00864424978127,0.0
1488838200,1.0,209.33263388752871,0.0
1488838800,1.0,247.31404416690944,0.0
1488839400,1.0,231.73893977223238,0.0
1488840000,1.0,256.37191645687017,0.0
1488840600,1.0,343.351462896277,0.0
1488841200,1.0,489.25149603147764,0.0
1488841800,1.0,612.3990219138608,0.0
1488842400,1.0,546.5917891440821,0.0
1488843000,1.0,555.0710015024653,0.0
1488843600,1.0,744.4911885055237,0.0
1488844200,1.0,882.8312061951642,0.0
1488844800,1.0,998.3999549387104,0.0
1488845400,1.0,844.0496200338823,0.0
1488846000,1.0,929.2411306216264,0.0
1488846600,1.0,974.7927182011088,0.0
1488847200,1.0,943.8025266689727,0.0
1488847800,1.0,542.4435969094477,0.0
1488848400,1.0,516.3254639994382,0.0
1488849000,1.0,624.2214426110802,0.0
1488849600,1.0,407.329501914962,0.0
1488850200,1.0,556.4638666186686,0.0
1488850800,1.0,333.29101768490636,0.0
1488851400,1.0,629.2449772062813,0.0
1488852000,1.0,419.4434984305161,0.0
1488852600,1.0,605.0792206717044,0.0
1488853200,1.0,492.1467897392048,0.0
1488853800,1.0,464.41553750266434,0.0
1488854400,1.0,472.608543861027,0.0
1488855000,1.0,428.65947910500114,0.0
1488855600,1.0,354.60449906017783,0.0
1488856200,1.0,321.8742808879793,0.0
1488856800,1.0,332.00537249817705,0.0
1488857400,1.0,483.8538926661306,0.0
1488858000,1.0,381.86945536973184,0.0
1488858600,1.0,576.7462610317348,0.0
1488859200,1.0,448.74818892800425,0.0
1488859800,1.0,656.8027144815247,0.0
1488860400,1.0,304.4654595011712,0.0
1488861000,1.0,285.51408886516634,0.0
1488861600,1.0,314.7972936125765,0.0
1488862200,1.0,310.6291328387028,0.0
1488862800,1.0,378.611610690696,0.0
1488863400,1.0,485.73008438719694,0.0
1488864000,1.0,627.5840350400133,0.0
1488864600,1.0,464.85157079749763,0.0
1488865200,1.0,387.07086490153483,0.0
1488865800,1.0,457.378798099292,0.0
1488866400,1.0,554.2575726034407,0.0
1488867000,1.0,305.72087979902886,0.0
1488867600,1.0,216.28675136505768,0.0
1488868200,1.0,222.82280264648918,0.0
1488868800,1.0,349.6944779443222,0.0
1488869400,1.0,357.2173576999538,0.0
1488870000,1.0,509.86222159013397,0.0
1488870600,1.0,464.37140782956925,0.0
1488871200,1.0,590.1853696940124,0.0
1488871800,1.0,636.6745251754727,0.0
1488872400,1.0,750.4480483117267,0.0
1488873000,1.0,606.2236207072099,0.0
1488873600,1.0,565.9638188988639,0.0
1488874200,1.0,470.20348054432975,0.0
1488874800,1.0,357.9922093914364,0.0
1488875400,1.0,283.98365096042926,0.0
1488876000,1.0,223.3517946392815,0.0
1488876600,1.0,277.7366367551606,0.0
1488877200,1.0,152.3636876675374,0.0
1488877800,1.0,197.6168420897144,0.0
1488878400,1.0,198.2153137350369,0.0
1488879000,1.0,290.4949208850258,0.0
1488879600,1.0,234.7575691071657,0.0
1488880200,1.0,207.8514443664217,0.0
1488880800,1.0,460.7744373913837,0.0
1488881400,1.0,565.455102026508,0.0
1488882000,1.0,824.9269260389317,0.0
1488882600,1.0,844.7102356244742,0.0
1488883200,1.0,1197.3023634049075,0.0
1488883800,1.0,1059.256546731558,0.0
1488884400,1.0,805.8292770247989,0.0
1488885000,1.0,1069.2988050095653,0.0
1488885600,1.0,1065.1976691777686,0.0
1488886200,1.0,948.5250453986728,0.0
1488886800,1.0,1184.9798799079574,0.0
1488887400,1.0,771.3814115606517,0.0
1488888000,1.0,1005.5838304217565,0.0
1488888600,1.0,1177.3602516584515,0.0
1488889200,1.0,667.9860988682964,0.0
1488889800,1.0,870.3275295456793,0.0
1488890400,1.0,976.7679254038292,0.0
1488891000,1.0,1286.270068879365,56.80017495578157
1488891600,1.0,1310.242862190442,0.0
1488892200,1.0,653.9326827366002,0.0
1488892800,1.0,1067.904000155767,0.0
1488893400,1.0,506.77462983898255,0.0
1488894000,1.0,440.0716856373787,0.0
1488894600,1.0,638.7268235471937,5.069465238427052
1488895200,1.0,1146.546555703627,0.0
1488895800,1.0,1089.727945084688,0.0
1488896400,1.0,1604.6449206699085,0.0
1488897000,1.0,1376.9881894457114,0.0
1488897600,1.0,1109.7693327195186,38.190139782944975
1488898200,1.0,949.2182679063644,0.0
1488898800,1.0,648.1013659450002,0.0
1488899400,1.0,1150.0573930234818,230.06207947898145
1488900000,1.0,886.4276996652134,0.0
1488900600,1.0,820.7639874767157,0.0
1488901200,1.0,1026.2198304762044,0.0
1488901800,1.0,1213.025968205289,0.0
1488902400,1.0,1068.641629662192,0.0
1488903000,1.0,963.6714680919046,0.0
1488903600,1.0,703.5912351714193,0.0
1488904200,1.0,1303.6771960487704,0.0
1488904800,1.0,1158.2124394542855,0.0
1488905400,1.0,1203.903722993102,0.0
1488906000,1.0,589.2245823648813,0.0
1488906600,1.0,604.5252676131828,0.0
1488907200,1.0,642.8927746880931,0.0
1488907800,1.0,1431.3538497833488,6.536394051798136
1488908400,1.0,1097.8594898511549,0.0
1488909000,1.0,873.9964530321173,0.0
1488909600,1.0,752.7305541177205,0.0
1488910200,1.0,616.3525974374071,0.0
1488910800,1.0,575.1772314846983,0.0
1488911400,1.0,683.3503747622651,0.0
1488912000,1.0,963.2838515449913,0.0
1488912600,1.0,904.0709467520372,0.0
1488913200,1.0,781.0486790627272,0.0
1488913800,1.0,258.39248920084117,0.0
1488914400,1.0,200.27582560478402,0.0
1488915000,1.0,590.2814963392336,0.0
1488915600,1.0,729.5068808547056,0.0
1488916200,1.0,903.8530068537808,0.0
1488916800,1.0,829.5601052959621,0.0
1488917400,1.0,861.1781058562991,0.0
1488918000,1.0,1133.6991338215566,0.0
1488918600,1.0,814.8179856263533,0.0
1488919200,1.0,628.4531040595083,0.0
1488919800,1.0,662.3160454181618,0.0
1488920400,1.0,569.9096233682278,0.0
1488921000,1.0,541.5516962150508,0.0
1488921600,1.0,310.0028377242852,0.0
1488922200,1.0,386.5711026273056,0.0
1488922800,1.0,394.46787784971383,0.0
1488923400,1.0,144.6993511401283,0.0
1488924000,1.0,178.54088349655416,0.0
1488924600,1.0,183.08037294496108,0.0
1488925200,1.0,146.09497493419013,0.0
1488925800,1.0,137.80359471501515,0.0
1488926400,,,
1488927000,1.0,119.63271706290062,0.0
1488927600,,,
1488928200,,,
1488928800,,,
1488929400,,,
1488930000,,,
1488930600,,,
1488931200,,,
