TRAINING,VALIDATION
1.21562189691e-06,1.10466092016e-06
1.02137627416e-06,2.42260873276e-06
6.53158443978e-07,2.23896440429e-06
1.31900967308e-06,1.70534829945e-06
7.69403768416e-07,1.23071456021e-06
9.09542512273e-07,2.92101013983e-06
1.90060980397e-06,1.4003570434e-06
4.43425113171e-07,1.30845686756e-06
1.5746354118e-06,1.09981976869e-06
3.52161601507e-07,1.91847469441e-06
9.27867446939e-07,1.11229011495e-06
8.66627046783e-07,9.3568340443e-07
1.42948604371e-06,1.45561088892e-06
7.44373139026e-07,1.83841146239e-06
9.16877969588e-07,2.5995121644e-06
1.02633731868e-06,9.70232150062e-07
1.0537473346e-06,1.40773167918e-06
1.15375087504e-06,1.21036895076e-06
6.79695503689e-07,1.68467340738e-06
9.49251669823e-07,1.08289175051e-06
8.36731664833e-07,3.63145742726e-06
1.09568010364e-06,1.5609131626e-05
1.02363473864e-06,1.91928670996e-06
7.04310304062e-07,1.03565124589e-06
1.08332366344e-06,3.63237840672e-06
8.29919903686e-07,1.84523019633e-06
1.1116703122e-06,2.42888256989e-06
8.47858859726e-07,2.30602001383e-06
1.08479913064e-06,1.75398446484e-06
8.99310671842e-07,1.63387981072e-06
1.4176759869e-06,1.13139973456e-06
5.49138885109e-07,1.35816953621e-06
1.04796077891e-06,3.54994878401e-06
9.63405247784e-07,9.62072203848e-07
9.7995936375e-07,1.21778675086e-06
9.2339265825e-07,1.24637436405e-06
6.76733335381e-07,1.14045748696e-06
1.07675848063e-06,1.94092278537e-06
8.06531066644e-07,1.4065083475e-06
1.64005723711e-06,2.01502365968e-06
4.18246006953e-07,2.82287507442e-06
9.22720330163e-07,1.30672192661e-06
8.34044059669e-07,2.77309370138e-06
8.90067654651e-07,1.00115125306e-06
8.47738632116e-07,1.53660252547e-06
8.776431022e-07,1.35740668465e-06
8.08390107611e-07,1.2347645988e-06
1.54486892932e-06,2.47118348827e-06
4.01905446174e-07,1.46128861509e-06
1.08727686933e-06,3.24153290218e-06
9.74841412068e-07,1.26254080191e-06
7.76469255611e-07,3.62380296509e-06
7.64290972976e-07,1.97002274264e-06
1.01836432136e-06,2.46491521652e-06
1.00212600315e-06,2.01347708466e-06
6.46595021558e-07,1.16645188954e-06
9.32225042733e-07,1.4489071367e-06
1.03566895176e-06,1.16128670632e-05
7.77023960206e-07,3.26450621377e-06
8.12783934043e-07,1.37464805308e-06
1.09997080179e-06,8.27040357362e-06
7.47009779123e-07,1.93598913992e-06
7.81682057013e-07,1.04198947076e-06
9.08010117325e-07,2.51827990305e-06
8.49005309308e-07,3.05287636452e-06
8.03944400371e-07,1.1034591852e-06
1.53835215021e-06,1.6694997882e-06
7.74341831405e-07,1.25317407319e-06
9.17944991823e-07,1.130013713e-06
8.67525532405e-07,1.04911879907e-06
9.06053480809e-07,3.48551539454e-06
6.49701307327e-07,1.25035457554e-06
8.36274012929e-07,1.83012218625e-06
9.88673456253e-07,8.90579240415e-07
5.27659397985e-07,2.46966806009e-06
9.60393215046e-07,1.27358027519e-06
7.83912414035e-07,1.69981415394e-06
1.12871156309e-06,1.80436448696e-06
8.30217503623e-07,2.36069582714e-06
